17/04/12 09:47:26.357 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:47:26.357 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：0
17/04/12 09:47:28.449 ERROR [com.jhw.adm.comclient.protocol.snmp.Request] - 192.168.1.211/161 Snmp Time out
17/04/12 09:47:28.450 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Finish discovery, now Arrangeing data......
17/04/12 09:47:28.452 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Snmp dectecting......
17/04/12 09:47:30.604 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - <<<detect snmp thread finish>>>
17/04/12 09:47:33.013 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - <<<detect snmp thread finish>>>
17/04/12 09:47:35.418 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - <<<detect snmp thread finish>>>
17/04/12 09:47:37.818 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - <<<detect snmp thread finish>>>
17/04/12 09:47:37.818 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Snmp dectect finish -> 1
17/04/12 09:47:38.103 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Finish discovery, now Arrangeing data......
17/04/12 09:47:38.320 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:47:38.379 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:47:38.380 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:47:38.380 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：1
17/04/12 09:47:39.119 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - ***拓扑发现结束***
17/04/12 09:47:50.322 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:47:50.375 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:47:50.375 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:47:50.375 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：0
17/04/12 09:48:02.326 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:48:02.359 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:48:02.359 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:48:02.359 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：1
17/04/12 09:48:14.327 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:48:14.346 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:48:14.346 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:48:14.346 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：0
17/04/12 09:48:26.328 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:48:26.381 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:48:26.381 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:48:26.381 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：1
17/04/12 09:48:38.328 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:48:38.369 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:48:38.369 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:48:38.370 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：0
17/04/12 09:48:50.335 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:48:50.369 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:48:50.369 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:48:50.369 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：1
17/04/12 09:49:02.339 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:49:02.390 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:49:02.390 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:49:02.390 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：0
17/04/12 09:49:05.207 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:49:05.220 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - MsgName：TOPOSEARCH,msgID：1
17/04/12 09:49:05.220 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：1
17/04/12 09:49:05.238 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Start ip:192.168.1.211
17/04/12 09:49:05.238 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Ip Segment:192.168.1.1 - 192.168.1.254
17/04/12 09:49:05.238 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - TOPOLOGY_THREADPOOL_COUNT >>> 220
17/04/12 09:49:05.238 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - ICMP dectecting......
17/04/12 09:49:05.238 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - ICMP dectect finish -> 0
17/04/12 09:49:05.238 INFO  [com.jhw.adm.comclient.service.SystemHandler] - ***系统类型: RS608-2F6T
17/04/12 09:49:05.253 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - WT device Type:RS608-2F6T
17/04/12 09:49:06.792 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Finish discovery, now Arrangeing data......
17/04/12 09:49:06.825 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - 发现二层: 192.168.1.211
17/04/12 09:49:06.825 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Snmp dectecting......
17/04/12 09:49:08.139 INFO  [com.jhw.adm.comclient.protocol.snmp.TrapMonitor] - 1.3.6.1.2.1.1.3.0 : 0:40:18.00
17/04/12 09:49:08.140 INFO  [com.jhw.adm.comclient.protocol.snmp.TrapMonitor] - 1.3.6.1.6.3.1.1.4.1.0 : 1.3.6.1.6.3.1.1.5.4
17/04/12 09:49:08.141 INFO  [com.jhw.adm.comclient.protocol.snmp.TrapMonitor] - 1.3.6.1.2.1.2.2.1.1.6 : 6
17/04/12 09:49:08.141 INFO  [com.jhw.adm.comclient.protocol.snmp.TrapMonitor] - 1.3.6.1.6.3.1.1.4.3.0 : 1.3.6.1.4.1.8072.3.2.255
17/04/12 09:49:08.142 INFO  [com.jhw.adm.comclient.protocol.snmp.TrapMonitor] - ***Trap IP:192.168.1.37
17/04/12 09:49:08.151 INFO  [com.jhw.adm.comclient.protocol.snmp.TrapMonitor] - ******<<KYLAND and Virtual Net Element>> send:192.168.1.37 连接上
17/04/12 09:49:08.151 WARN  [com.jhw.adm.comclient.protocol.snmp.TrapMonitor$ConsumeTrap] - TrapQueue empty!
17/04/12 09:49:08.958 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - <<<detect snmp thread finish>>>
17/04/12 09:49:11.359 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - <<<detect snmp thread finish>>>
17/04/12 09:49:13.775 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - <<<detect snmp thread finish>>>
17/04/12 09:49:14.339 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:49:14.382 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:49:14.383 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:49:14.383 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：0
17/04/12 09:49:16.177 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - <<<detect snmp thread finish>>>
17/04/12 09:49:16.177 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Snmp dectect finish -> 1
17/04/12 09:49:16.226 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - Finish discovery, now Arrangeing data......
17/04/12 09:49:17.226 INFO  [com.jhw.adm.comclient.service.topology.TopologyService] - ***拓扑发现结束***
17/04/12 09:49:26.347 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:49:26.381 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:49:26.381 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:49:26.381 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：1
17/04/12 09:49:38.347 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
17/04/12 09:49:38.388 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:49:38.388 INFO  [com.jhw.adm.comclient.jms.MessageQueueHandler] - Heartbeat Message:52
17/04/12 09:49:38.388 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：0
17/04/12 09:49:46.439 INFO  [com.jhw.adm.comclient.jms.MessageSend$Receive] - Receive a message.
17/04/12 09:49:46.501 WARN  [com.jhw.adm.comclient.jms.MessageQueueHandler$QueueHandler] - messageQueue empty!Thread：1
17/04/12 09:49:50.357 INFO  [com.jhw.adm.comclient.service.HeartbeatService$DoTask] - Sended heartbeat
